Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DERAS,Ex,1629396115.096470,0.2,0.003767770569220892,0,0.0,0.00045296476884962593,1.0,9,0,9,1629396115.09647,1629393715.096362,0.003749999831244357,0.2,0.16523167596922975,300.00001406669617,0,0,0,0.06720530060424804,1,100.0,Do nothing
DTM,Ex,1629396115.096473,0.22,0.003767770555104647,0,0.0,0.0004529647706495462,1.0,9,0,9,1629396115.096473,1629393715.096365,0.003749999831244357,0.22,0.16399133528058474,300.00001287460327,0,0,0,0.0648346516294909,1,100.0,Do nothing
DER,Ex,1629396415.096476,0.18,0.004529647634948635,0,0.0,0.0004857645677952502,1.0,10,0,10,1629396415.096476,1629393715.096317,0.0037037034855621634,0.18,0.23596911560044054,300.00001311302185,0,0,0,0.08159157325867003,1,100.0,Do nothing
DCM,Ex,1629396415.096482,0.41,0.004529647701095701,0,0.0,0.00048576456929655946,1.0,10,0,10,1629396415.096482,1629393715.096357,0.0037037035323301375,0.41,0.16993040235957488,300.0000159740448,0,0,0,0.042584789328214676,1,100.0,Do nothing
DERAS,Ex,1629396415.096486,0.32,0.0045296476884962595,0,0.0,0.0004857645694681377,1.0,10,0,10,1629396415.096486,1629393715.096362,0.0037037035336383328,0.32,0.169100884069999,300.0000159740448,0,0,0,0.05537170905429644,1,100.0,Do nothing
DTM,Ex,1629396415.096489,0.23,0.004529647706495462,0,0.0,0.0004857645694681377,1.0,10,0,10,1629396415.096489,1629393715.096365,0.0037037035336383328,0.23,0.1656013027127656,300.0000159740448,0,0,0,0.06132277509769517,1,100.0,Do nothing
DER,Ex,1629396715.096492,0.44,0.005343410245747752,0,0.0,0.0005170612851746486,1.0,11,0,11,1629396715.096492,1629393715.096317,0.003666666452778723,0.44,0.24082699380043004,300.0000159740448,0,0,0,0.06069785319155858,1,100.0,Communication rate is low fromDER
DCM,Ex,1629396715.096496,0.44,0.005343410262262154,0,0.0,0.0005170612946669784,1.0,11,0,11,1629396715.096496,1629393715.096357,0.0036666664967801915,0.44,0.17621109067679408,300.00001406669617,0,0,0,0.036962164604661236,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629396715.096499,0.45,0.005343410264149515,0,0.0,0.0005170612970914264,1.0,11,0,11,1629396715.096499,1629393715.096362,0.0036666664994027954,0.45,0.17548495488658997,300.00001287460327,0,0,0,0.03378466444384903,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629396715.096502,0.31,0.005343410264149515,0,0.0,0.0005170612966394107,1.0,11,0,11,1629396715.096502,1629393715.096365,0.0036666664991113953,0.31,0.16881016265248192,300.00001311302185,0,0,0,0.05309651728294583,1,100.0,Communication rate is low fromDTM
DER,Ex,1629397015.096505,0.32,0.006204735422095783,0,0.0,0.000546894931946979,1.0,12,0,12,1629397015.096505,1629393715.096317,0.0036363634293401326,0.32,0.24254814610911635,300.00001287460327,0,0,0,0.06947626039402939,1,100.0,Communication rate is low fromDER
DCM,Ex,1629397015.096509,0.32,0.006204735536003741,0,0.0,0.0005468949379133051,1.0,12,0,12,1629397015.096509,1629393715.096357,0.0036363634690108784,0.32,0.1792704291730325,300.00001287460327,0,0,0,0.05382297436354919,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629397015.096512,0.42,0.006204735565097117,0,0.0,0.0005468949377947688,1.0,12,0,12,1629397015.096512,1629393715.096362,0.00363636347111264,0.42,0.18057901832645265,300.00001311302185,0,0,0,0.04070723166941802,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629397015.096515,0.22,0.006204735559672929,0,0.0,0.0005468949382294019,1.0,12,0,12,1629397015.096515,1629393715.096365,0.00363636347111264,0.22,0.16985485321059454,300.00001287460327,0,0,0,0.0574806288011703,1,100.0,Communication rate is low fromDTM
DER,Ex,1629397315.096519,0.37,0.007109634115310727,0,0.0,0.00057531520946557,1.0,13,0,13,1629397315.096519,1629393715.096317,0.0036111109085473127,0.37,0.24509718318693402,300.00001406669617,0,0,0,0.06355778300536676,1,100.0,Communication rate is low fromDER
DCM,Ex,1629397315.096522,0.29,0.007109634192872966,0,0.0,0.0005753152172001987,1.0,13,0,13,1629397315.096522,1629393715.096357,0.003611110945616247,0.29,0.18144159722846318,300.00001311302185,0,0,0,0.054649798112827934,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629397315.096525,0.32,0.007109634191331995,0,0.0,0.0005753152180003327,1.0,13,0,13,1629397315.096525,1629393715.096362,0.003611110947768637,0.32,0.18326019105094396,300.00001287460327,0,0,0,0.052139608389853015,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629397315.096528,0.39,0.007109634196982224,0,0.0,0.0005753152175050116,1.0,13,0,13,1629397315.096528,1629393715.096365,0.0036111109475294822,0.39,0.17400853522548898,300.00001311302185,0,0,0,0.04117316339783739,1,100.0,Communication rate is low fromDTM
DER,Ex,1629397615.096532,0.26,0.00805441293251798,0,0.0,0.0006023765000197051,1.0,14,0,14,1629397615.096532,1629393715.096317,0.003589743391798182,0.26,0.24537316127606487,300.00001311302185,0,0,0,0.0675024009223135,1,100.0,Communication rate is low fromDER
DCM,Ex,1629397615.096535,0.19,0.008054413040802781,0,0.0,0.0006023765062431407,1.0,14,0,14,1629397615.096535,1629393715.096357,0.0035897434260326413,0.19,0.18159720455158201,300.00001287460327,0,0,0,0.05773039318036102,1,100.0,Communication rate is low fromDCM
DERAS,Ex,1629397615.096538,0.22,0.008054413052004657,0,0.0,0.0006023765060590153,1.0,14,0,14,1629397615.096538,1629393715.096362,0.0035897434277882547,0.22,0.18391625906789139,300.00001311302185,0,0,0,0.05654177877690396,1,100.0,Communication rate is low fromDERAS
DTM,Ex,1629397615.096541,0.19,0.008054413045070163,0,0.0,0.0006023765065377412,1.0,14,0,14,1629397615.096541,1629393715.096365,0.0035897434277882547,0.19,0.17428908723907688,300.00001287460327,0,0,0,0.055299623631488506,1,100.0,Communication rate is low fromDTM
DER,Ex,1629397915.096545,0.17,0.009035647500295577,0,0.0,0.0006281349952160528,1.0,15,0,15,1629397915.096545,1629393715.096317,0.003571428377612118,0.17,0.24407362401268443,300.00001287460327,0,0,0,0.06713263402695266,1,100.0,Communication rate is low fromDER
DCM,Ex,1629397915.096548,0.43,0.00903564759364711,0,0.0,0.0006281350002436778,1.0,15,0,15,1629397915.096548,1629393715.096357,0.0035714284090363323,0.43,0.1858074214235891,300.00001311302185,0,0,0,0.03690486823805821,1,100.0,Communication rate is low fromDCM
